# y+ ()         
# Time          	patch           	min             	max             	average         
1.395           	airfoil	1.52289381e-04	1.97461791e-02	6.07791999e-03
1.4             	airfoil	1.55677311e-04	1.97564544e-02	6.09477189e-03
1.405           	airfoil	1.71884996e-04	1.97667004e-02	6.11158539e-03
1.41            	airfoil	1.54336263e-04	1.97769174e-02	6.12827552e-03
1.415           	airfoil	1.89910361e-04	1.97871055e-02	6.14510818e-03
1.42            	airfoil	1.34014662e-04	1.97972648e-02	6.16178983e-03
1.425           	airfoil	2.04756568e-04	1.98073957e-02	6.17837802e-03
1.43            	airfoil	1.12859871e-04	1.98174981e-02	6.19473312e-03
1.435           	airfoil	6.07410815e-05	1.98275724e-02	6.21094822e-03
1.44            	airfoil	5.07764230e-05	1.98376184e-02	6.22731735e-03
1.445           	airfoil	2.34934558e-04	1.98476365e-02	6.24387067e-03
1.45            	airfoil	3.42587568e-05	1.98576266e-02	6.26003556e-03
1.455           	airfoil	2.43349964e-04	1.98675888e-02	6.27625589e-03
1.46            	airfoil	8.08532112e-05	1.98775231e-02	6.29218115e-03
1.465           	airfoil	2.27375032e-04	1.98874296e-02	6.30843283e-03
1.47            	airfoil	1.13858387e-04	1.98973083e-02	6.32437052e-03
1.475           	airfoil	2.14227901e-04	1.99071591e-02	6.34025665e-03
1.48            	airfoil	3.22562334e-05	1.99169821e-02	6.35583134e-03
1.485           	airfoil	1.98309213e-04	1.99267771e-02	6.37175307e-03
1.49            	airfoil	1.64723902e-04	1.99365441e-02	6.38766006e-03
1.495           	airfoil	1.81217078e-04	1.99462830e-02	6.40341195e-03
1.5             	airfoil	1.86582317e-04	1.99559936e-02	6.41901208e-03
1.505           	airfoil	1.60233711e-04	1.99656759e-02	6.43441450e-03
1.51            	airfoil	2.05198367e-04	1.99753299e-02	6.45001772e-03
1.515           	airfoil	1.38005605e-04	1.99849555e-02	6.46551141e-03
1.52            	airfoil	1.73350929e-04	1.99945526e-02	6.48090628e-03
1.525           	airfoil	1.15481252e-04	2.00045408e-02	6.49629052e-03
1.53            	airfoil	2.19543870e-04	2.00140558e-02	6.51163812e-03
1.535           	airfoil	7.66193163e-05	2.00235550e-02	6.52708003e-03
1.54            	airfoil	2.54097658e-04	2.00334426e-02	6.54264418e-03
1.545           	airfoil	4.36732561e-05	2.00428642e-02	6.55770988e-03
1.55            	airfoil	1.11795390e-04	2.00526753e-02	6.57289070e-03
1.555           	airfoil	8.02199290e-05	2.00620295e-02	6.58819450e-03
1.56            	airfoil	2.48070773e-04	2.00717695e-02	6.60357980e-03
1.565           	airfoil	1.03363776e-04	2.00810558e-02	6.61847544e-03
1.57            	airfoil	1.99625595e-04	2.00907239e-02	6.63364110e-03
1.575           	airfoil	1.13185430e-04	2.01003284e-02	6.64911327e-03
1.58            	airfoil	2.41181724e-04	2.01098862e-02	6.66445842e-03
1.585           	airfoil	1.18196958e-04	2.01194345e-02	6.67947622e-03
1.59            	airfoil	2.44104518e-04	2.01291171e-02	6.69481669e-03
1.595           	airfoil	1.12730806e-04	2.01387567e-02	6.71005221e-03
1.6             	airfoil	2.52002389e-04	2.01483529e-02	6.72521631e-03
1.605           	airfoil	9.22406083e-05	2.01579052e-02	6.74021697e-03
1.61            	airfoil	1.53424529e-04	2.01674132e-02	6.75561876e-03
1.615           	airfoil	2.33260485e-05	2.01768765e-02	6.77071124e-03
1.62            	airfoil	2.65417103e-04	2.01862952e-02	6.78600730e-03
1.625           	airfoil	1.10049101e-04	2.01956693e-02	6.80151013e-03
1.63            	airfoil	2.37395231e-04	2.02049989e-02	6.81689433e-03
1.635           	airfoil	1.47959603e-04	2.02142843e-02	6.83184924e-03
1.64            	airfoil	1.90916714e-04	2.02235257e-02	6.84755787e-03
1.645           	airfoil	2.34896441e-04	2.02327232e-02	6.86297351e-03
1.65            	airfoil	9.87131929e-05	2.02418771e-02	6.87804954e-03
