# y+ ()         
# Time          	patch           	min             	max             	average         
1.16            	airfoil	1.35595343e-04	5.71070378e-03	1.85939837e-03
1.165           	airfoil	1.35836507e-04	5.73583077e-03	1.85997811e-03
1.17            	airfoil	1.36424912e-04	5.71198758e-03	1.86834533e-03
1.175           	airfoil	1.36648317e-04	5.73684663e-03	1.86885615e-03
1.18            	airfoil	1.37218416e-04	5.71283645e-03	1.87716377e-03
1.185           	airfoil	1.37575285e-04	5.71290225e-03	1.88104347e-03
1.19            	airfoil	1.37828886e-04	5.73987756e-03	1.88108363e-03
1.195           	airfoil	1.38417191e-04	5.71483555e-03	1.88958883e-03
1.2             	airfoil	1.38787068e-04	5.71397795e-03	1.89353778e-03
1.205           	airfoil	1.39170267e-04	5.71575715e-03	1.89700442e-03
1.21            	airfoil	1.39546778e-04	5.71684941e-03	1.90075968e-03
1.215           	airfoil	1.39925504e-04	5.71726715e-03	1.90486100e-03
1.22            	airfoil	1.39770222e-04	5.71729579e-03	1.90897747e-03
1.225           	airfoil	1.39615693e-04	5.71710595e-03	1.91310133e-03
1.23            	airfoil	1.39465619e-04	5.71678394e-03	1.91718198e-03
1.235           	airfoil	1.39317002e-04	5.71636341e-03	1.92122215e-03
1.24            	airfoil	6.26058516e-05	5.71586022e-03	1.92518445e-03
1.245           	airfoil	1.39020720e-04	5.71528209e-03	1.92938787e-03
1.25            	airfoil	1.38872852e-04	5.71463262e-03	1.93348522e-03
1.255           	airfoil	1.38725272e-04	5.71391410e-03	1.93754923e-03
1.26            	airfoil	1.38577901e-04	5.71312784e-03	1.94162657e-03
1.265           	airfoil	1.38431443e-04	5.71227536e-03	1.94566878e-03
1.27            	airfoil	1.26157576e-04	5.71135782e-03	1.94962151e-03
1.275           	airfoil	9.08662600e-05	5.71037814e-03	1.95347970e-03
1.28            	airfoil	2.63963845e-05	5.70933143e-03	1.95726272e-03
1.285           	airfoil	8.20622319e-05	5.70822770e-03	1.96105537e-03
1.29            	airfoil	1.18623811e-04	5.70705847e-03	1.96479567e-03
1.295           	airfoil	1.37560267e-04	5.70583469e-03	1.96846074e-03
1.3             	airfoil	1.37412516e-04	5.70454870e-03	1.97209063e-03
1.305           	airfoil	1.37268399e-04	5.70320835e-03	1.97566963e-03
1.31            	airfoil	1.37121940e-04	5.70181191e-03	1.97921342e-03
1.315           	airfoil	1.36980766e-04	5.70036204e-03	1.98270038e-03
1.32            	airfoil	1.36835708e-04	5.69885853e-03	1.98616180e-03
1.325           	airfoil	1.36695530e-04	5.69730337e-03	1.98957272e-03
1.33            	airfoil	1.36553288e-04	5.69569726e-03	1.99294582e-03
1.335           	airfoil	1.36414584e-04	5.69404153e-03	1.99626972e-03
1.34            	airfoil	1.36323975e-04	5.69233717e-03	1.99955330e-03
1.345           	airfoil	1.36265663e-04	5.69058525e-03	2.00280115e-03
1.35            	airfoil	1.36215681e-04	5.68878692e-03	2.00601811e-03
1.355           	airfoil	1.36165831e-04	5.68694331e-03	2.00921187e-03
1.36            	airfoil	1.36114793e-04	5.68505572e-03	2.01237476e-03
1.365           	airfoil	1.36059328e-04	5.68312446e-03	2.01550691e-03
1.37            	airfoil	1.36002853e-04	5.68115128e-03	2.01859022e-03
1.375           	airfoil	1.09822406e-04	5.67913672e-03	2.02155663e-03
1.38            	airfoil	1.35885944e-04	5.67708296e-03	2.02485436e-03
1.385           	airfoil	1.35827738e-04	5.67498998e-03	2.02805694e-03
1.39            	airfoil	1.35767255e-04	5.67285834e-03	2.03119874e-03
1.395           	airfoil	1.35707292e-04	5.67069070e-03	2.03429212e-03
1.4             	airfoil	1.35647708e-04	5.66848764e-03	2.03733855e-03
1.405           	airfoil	1.35588458e-04	5.66625019e-03	2.04033863e-03
1.41            	airfoil	1.35529646e-04	5.66397929e-03	2.04329276e-03
1.415           	airfoil	1.35471201e-04	5.66167606e-03	2.04620163e-03
1.42            	airfoil	1.35413385e-04	5.65934174e-03	2.04906563e-03
1.425           	airfoil	1.35356322e-04	5.65697738e-03	2.05189561e-03
